68	牧山	C	3241	南投縣		六易-5	干卓萬東南峰
69	玉山前峰	A	3239	嘉義縣、南投縣	玉山國家公園	六易-5	新高前山，前山
70	石門山	A	3237	花蓮縣、南投縣	太魯閣國家公園	八小巒-2	
71	無雙山	C+	3231	南投縣		九嶂-7	馬西柔干山
72	塔關山	A	3222	台東縣、高雄市	玉山國家公園	七峭-5	大關山
73	馬比杉山	C	3211	宜蘭縣、花蓮縣	太魯閣國家公園	九平-7	麻眉山
74	達芬尖山	C	3208	南投縣、高雄市、花蓮縣	玉山國家公園	三尖-3	尖山
75	雪山東峰	A	3201	臺中市	雪霸國家公園	八小巒-3	次高東山.明間山
76	南華山	A	3184	南投縣、花蓮縣		八瘦-6	能高山北峰
77	關山嶺山	A	3176	台東縣、高雄市	玉山國家公園	八瘦-7	
78	海諾南山	C	3174	台東縣、高雄市		十潤-6	
79	中雪山	A	3173	苗栗縣	雪霸國家公園	十翠-8	
80	閂山	A	3168	臺中市	太魯閣國家公園	八秀-8	
81	甘薯峰	C+	3158	花蓮縣、臺中市	太魯閣國家公園	八小巒-6	中央南山
82	西合歡山	A	3145	南投縣	太魯閣國家公園	十翠-9	合歡山西峰
83	審馬陣山	A	3141	宜蘭縣、臺中市	太魯閣國家公園	六肩稜-1	夜珍加羅穗山
84	喀拉業山	A	3133	新竹縣、宜蘭縣	雪霸國家公園	六肩稜-2	加留坪山
85	庫哈諾辛山	A	3115	高雄市	玉山國家公園	九偏-8	
86	加利山	A	3112	苗栗縣	雪霸國家公園	六肩稜-3	麥巴拉邊山
87	白石山	C	3110	南投縣、花蓮縣		七峭-6	
88	磐石山	C	3106	花蓮縣	太魯閣國家公園	九偏-9	苫原山
89	帕托魯山	C	3101	花蓮縣	太魯閣國家公園	十潤-8	
90	北大武山	A	3092	屏東縣、台東縣		五嶽-5	大武山，屏東縣最高峰。
91	西巒大山	A	3081	南投縣		七峭-7	巒大山
92	塔芬山	C	3070	花蓮縣、高雄市	玉山國家公園	八銳-8	
93	立霧主山	C	3069	花蓮縣	太魯閣國家公園	十巖-9	塔次基里山
94	安東軍山	C	3068	花蓮縣、南投縣		十潤-9	安東郡山
95	光頭山	C	3060	南投縣、花蓮縣		九平-8	知亞干山
96	羊頭山	A	3035	花蓮縣	太魯閣國家公園	八瘦-8	
97	布拉克桑山	C	3026	台東縣、花蓮縣		九嶂-9	武拉姑散山
98	駒盆山	C+	3022	南投縣	玉山國家公園	六肩稜-4	宇馬薄哥山
99	六順山	B	2999	南投縣、花蓮縣		九平-9	
100	鹿山	C	2981	高雄市	玉山國家公園	六肩稜-6
